( a | a ) = 0.0031205649504984353
( s | o ) = 0.02910337410942331
( t | o ) = 0.0381368463503159
( u | o ) = 0.2332974862212663
( v | o ) = 0.002970829412555451
( w | o ) = 0.0003360666756284447
( x | o ) = 0.0008468880225836807
( y | o ) = 0.009557736254872967
( z | o ) = 9.409866917596451e-05
( a | p ) = 0.22181630951797185
( b | p ) = 0.00031873682145834353
( c | p ) = 0.00046584612366988673
( d | p ) = 0.0033099592997597213
( e | p ) = 0.15512675918207228
( f | p ) = 0.00022066395331731478
( g | p ) = 0.00017162751924680038
( h | p ) = 0.023316824400529592
( i | p ) = 0.07701171970774286
( j | p ) = 7.355465110577159e-05
( k | p ) = 2.4518217035257196e-05
( l | p ) = 0.09157554062668563
( m | p ) = 0.0004168096895993723
( n | p ) = 0.000122591085176286
( o | p ) = 0.15699014367675182
( p | p ) = 0.040283430588927575
( q | p ) = 0.00031873682145834353
( r | p ) = 0.1450252537635463
( s | p ) = 0.015078703476683176
( t | p ) = 0.015863286421811406
( u | p ) = 0.035281714313735106
( v | p ) = 0.0006619918599519443
( w | p ) = 7.355465110577159e-05
( x | p ) = 2.4518217035257196e-05
( y | p ) = 0.00046584612366988673
( z | p ) = 2.4518217035257196e-05
( a | q ) = 0.0005417118093174431
( b | q ) = 6.0190201035271456e-05
( c | q ) = 0.00451426507764536
( d | q ) = 0.0006620922113879861
( e | q ) = 0.00030095100517635727
( f | q ) = 0.0005417118093174431
( g | q ) = 0.00030095100517635727
( h | q ) = 0.0017455158300228723
( i | q ) = 0.00018057060310581438
( j | q ) = 0.0005417118093174431
( k | q ) = 6.0190201035271456e-05
( l | q ) = 0.00018057060310581438
( m | q ) = 0.0057180690983507886
( n | q ) = 0.00030095100517635727
( o | q ) = 0.0009028530155290719
( p | q ) = 0.0009028530155290719
( q | q ) = 6.0190201035271456e-05
( r | q ) = 0.00018057060310581438
( s | q ) = 0.00030095100517635727
( t | q ) = 6.0190201035271456e-05
( u | q ) = 0.9423979776092453
( v | q ) = 0.00018057060310581438
( w | q ) = 6.0190201035271456e-05
( x | q ) = 6.0190201035271456e-05
( y | q ) = 6.0190201035271456e-05
( z | q ) = 6.0190201035271456e-05
( a | r ) = 0.12340588428305807
( b | r ) = 0.005348353931969813
( c | r ) = 0.032669802034343214
( d | r ) = 0.04813518538772832
( e | r ) = 0.3188997046921142
( f | r ) = 0.008257683473695723
( g | r ) = 0.008454555397571914
( h | r ) = 0.0014109154544460242
( i | r ) = 0.08040030624521492
( j | r ) = 0.003970250464836487
( k | r ) = 0.0004265558350650771
( l | r ) = 0.04454774144153997
( m | r ) = 0.030329213606037405
( n | r ) = 0.01608881111232637
( o | r ) = 0.07609099857814722
( p | r ) = 0.01497320354369463
( q | r ) = 0.009613912282620584
( r | r ) = 0.02978234715082577
( s | r ) = 0.06250683583069015
( t | r ) = 0.03993218855955376
( u | r ) = 0.021294979765941156
( v | r ) = 0.015148200809362354
( w | r ) = 7.656130372962923e-05
( x | r ) = 0.0001421852783550257
( y | r ) = 0.0007109263917751285
( z | r ) = 0.00027343322760581864
( a | s ) = 0.10089186176142698
( b | s ) = 0.009525948851062414
( c | s ) = 0.046797783656966005
( d | s ) = 0.0814073445481622
( e | s ) = 0.1670660077538728
( f | s ) = 0.015000249588179504
( g | s ) = 0.006114910397843558
( h | s ) = 0.006830396512421171
( i | s ) = 0.06431887385813408
( j | s ) = 0.01599860230619478
( k | s ) = 0.0004242999051564918
( l | s ) = 0.051623155127373165
( m | s ) = 0.03302051614835522
( n | s ) = 0.01957603287908285
( o | s ) = 0.06027554535017222
( p | s ) = 0.05762991064743174
( q | s ) = 0.029542920847268672
( r | s ) = 0.01841128804139836
( s | s ) = 0.09042579743423351
( t | s ) = 0.05698098138072181
( u | s ) = 0.04719712474417211
( v | s ) = 0.011256426895622224
( w | s ) = 4.1598029917303115e-05
( x | s ) = 0.00030782542138804307
( y | s ) = 0.003352801211334631
( z | s ) = 0.0005574136008918618
( a | t ) = 0.12983292053230344
( b | t ) = 0.004250451282481844
( c | t ) = 0.029459300617102557
( d | t ) = 0.057375844842785774
( e | t ) = 0.2096994248772092
( f | t ) = 0.0075668527769615045
( g | t ) = 0.0017526552201838715
( h | t ) = 0.007377943831073422
( i | t ) = 0.10200033583812602
( j | t ) = 0.013108181856345241
( k | t ) = 0.00022039377020276226
( l | t ) = 0.05538180596952269
( m | t ) = 0.015857856513160656
( n | t ) = 0.011575920406364133
( o | t ) = 0.04411023886486713
( p | t ) = 0.035798245245791525
( q | t ) = 0.016382603585071997
( r | t ) = 0.10758364468326266
( s | t ) = 0.0595797825448134
( t | t ) = 0.043921329918979055
( u | t ) = 0.031621258553377274
( v | t ) = 0.007545862894085051
( w | t ) = 3.148482431468032e-05
( x | t ) = 3.148482431468032e-05
( y | t ) = 0.0008500902564963687
( z | t ) = 0.0002623735359556694
( a | u ) = 0.03328118169477486
( b | u ) = 0.008777580930906748
( c | u ) = 0.022812507190023697
( d | u ) = 0.02584957320019327
( e | u ) = 0.13042127786853186
( f | u ) = 0.008271403262545154
( g | u ) = 0.0076041690633412325
( h | u ) = 0.0012309320571520603
( i | u ) = 0.09896923820260911
( j | u ) = 0.005257345328210202
( k | u ) = 0.00010353634125578077
( l | u ) = 0.03636426385661367
( m | u ) = 0.022743482962519844
( n | u ) = 0.10115500540689783
( o | u ) = 0.004613119204840899
( p | u ) = 0.020511699606561903
( q | u ) = 0.0026114166072291373
( r | u ) = 0.1612290914110853
( s | u ) = 0.14185629155833698
( t | u ) = 0.0784460345581299
( u | u ) = 0.003278650806433058
( v | u ) = 0.029806962243747556
( w | u ) = 1.1504037917308975e-05
( x | u ) = 0.04483123576375308
( y | u ) = 0.0012999562846559142
( z | u ) = 0.0011849159054828245
( a | v ) = 0.21410449163691037
( b | v ) = 4.698364968990791e-05
( c | v ) = 0.00014095094906972373
( d | v ) = 4.698364968990791e-05
( e | v ) = 0.31962976884044353
( f | v ) = 4.698364968990791e-05
( g | v ) = 4.698364968990791e-05
( h | v ) = 4.698364968990791e-05
( i | v ) = 0.18384702123660965
( j | v ) = 4.698364968990791e-05
( k | v ) = 4.698364968990791e-05
( l | v ) = 0.00042285284720917124
( m | v ) = 0.00014095094906972373
( n | v ) = 0.00014095094906972373
( o | v ) = 0.18892125540311971
( p | v ) = 0.00014095094906972373
( q | v ) = 0.00014095094906972373
( r | v ) = 0.04665476414207856
( s | v ) = 4.698364968990791e-05
( t | v ) = 4.698364968990791e-05
( u | v ) = 0.014517947754181545
( v | v ) = 4.698364968990791e-05
( w | v ) = 4.698364968990791e-05
( x | v ) = 4.698364968990791e-05
( y | v ) = 4.698364968990791e-05
( z | v ) = 4.698364968990791e-05
( a | w ) = 0.08194774346793349
( b | w ) = 0.0011876484560570072
( c | w ) = 0.0035629453681710215
( d | w ) = 0.0059382422802850355
( e | w ) = 0.022565320665083134
( f | w ) = 0.0011876484560570072
( g | w ) = 0.0011876484560570072
( h | w ) = 0.0035629453681710215
( i | w ) = 0.02494061757719715
( j | w ) = 0.0035629453681710215
( k | w ) = 0.0035629453681710215
( l | w ) = 0.0011876484560570072
( m | w ) = 0.0011876484560570072
( n | w ) = 0.00831353919239905
( o | w ) = 0.0035629453681710215
( p | w ) = 0.0011876484560570072
( q | w ) = 0.0011876484560570072
( r | w ) = 0.0011876484560570072
( s | w ) = 0.00831353919239905
( t | w ) = 0.0011876484560570072
( u | w ) = 0.0011876484560570072
( v | w ) = 0.0011876484560570072
( w | w ) = 0.0011876484560570072
( x | w ) = 0.0011876484560570072
( y | w ) = 0.04156769596199525
( z | w ) = 0.0011876484560570072
( a | x ) = 0.07977815699658702
( b | x ) = 0.008674630261660978
( c | x ) = 0.09001706484641639
( d | x ) = 0.0843287827076223
( e | x ) = 0.07579635949943117
( f | x ) = 0.015216154721274175
( g | x ) = 0.0075369738339021615
( h | x ) = 0.02630830489192264
( i | x ) = 0.07522753128555176
( j | x ) = 0.019197952218430035
( k | x ) = 0.0007110352673492605
( l | x ) = 0.03199658703071672
( m | x ) = 0.07181456200227532
( n | x ) = 0.01749146757679181
( o | x ) = 0.019766780432309443
( p | x ) = 0.08603526734926052
( q | x ) = 0.038822525597269626
( r | x ) = 0.02147326507394767
( s | x ) = 0.03768486916951081
( t | x ) = 0.05816268486916951
( u | x ) = 0.006683731513083049
( v | x ) = 0.02033560864618885
( w | x ) = 0.0001422070534698521
( x | x ) = 0.0029863481228668944
( y | x ) = 0.010381114903299203
( z | x ) = 0.0009954493742889647
( a | y ) = 0.1956401766004415
( b | y ) = 0.00358719646799117
( c | y ) = 0.014072847682119206
( d | y ) = 0.020143487858719646
( e | y ) = 0.21219646799116998
( f | y ) = 0.0063465783664459164
( g | y ) = 0.015176600441501103
( h | y ) = 0.0008278145695364238
( i | y ) = 0.0019315673289183224
( j | y ) = 0.0024834437086092716
( k | y ) = 0.0002759381898454746
( l | y ) = 0.02676600441501104
( m | y ) = 0.016280353200883002
( n | y ) = 0.008554083885209713
( o | y ) = 0.06374172185430464
( p | y ) = 0.060430463576158944
( q | y ) = 0.0013796909492273732
( r | y ) = 0.03945916114790287
( s | y ) = 0.08195364238410596
( t | y ) = 0.036699779249448124
( u | y ) = 0.0002759381898454746
( v | y ) = 0.0074503311258278145
( w | y ) = 0.0002759381898454746
( x | y ) = 0.00358719646799117
( y | y ) = 0.0002759381898454746
( z | y ) = 0.0008278145695364238
( a | z ) = 0.0611875452570601
( b | z ) = 0.010499637943519189
( c | z ) = 0.02280955829109341
( d | z ) = 0.050325850832729904
( e | z ) = 0.16256335988414192
( f | z ) = 0.0068790731354091235
( g | z ) = 0.005430847212165098
( h | z ) = 0.0010861694424330196
( i | z ) = 0.011223750905141203
( j | z ) = 0.010499637943519189
( k | z ) = 0.0003620564808110065
( l | z ) = 0.04598117306299783
( m | z ) = 0.043084721216509775
( n | z ) = 0.011223750905141203
( o | z ) = 0.111151339608979
( p | z ) = 0.05684286748732802
( q | z ) = 0.009775524981897175
( r | z ) = 0.016292541636495295
( s | z ) = 0.015568428674873281
( t | z ) = 0.00832729905865315
( u | z ) = 0.014120202751629254
( v | z ) = 0.08653149891383055
( w | z ) = 0.0003620564808110065
( x | z ) = 0.0003620564808110065
( y | z ) = 0.0003620564808110065
( z | z ) = 0.0018102824040550326
