( a | a ) = 0.0015552395703730035
( m | e ) = 0.036821836648328395
( n | e ) = 0.0836436732966568
( o | e ) = 0.024828607702073634
( p | e ) = 0.022636479052052474
( q | e ) = 0.006182818451121456
( r | e ) = 0.1349513330512061
( s | e ) = 0.11311468472280999
( t | e ) = 0.06697841726618706
( u | e ) = 0.004600084638171816
( v | e ) = 0.020317393144308082
( w | e ) = 0.03697418535759628
( x | e ) = 0.006614473127380448
( y | e ) = 0.014426576385950064
( z | e ) = 0.0005628438425730005
( a | f ) = 0.09744806842748378
( b | f ) = 0.010644797443368737
( c | f ) = 0.010080834664912115
( d | f ) = 0.007496005263652599
( e | f ) = 0.07141178682206974
( f | f ) = 0.04669141836638782
( g | f ) = 0.0058041169282827335
( h | f ) = 0.03268634270138171
( i | f ) = 0.10492057524203402
( j | f ) = 0.0023733433593382835
( k | f ) = 0.0008224457185825735
( l | f ) = 0.04687940595920669
( m | f ) = 0.014216561706927342
( n | f ) = 0.0050521665570072375
( o | f ) = 0.16930632578249835
( p | f ) = 0.007308017670833725
( q | f ) = 0.0012924147006297584
( r | f ) = 0.07991822539712379
( s | f ) = 0.025730801767083374
( t | f ) = 0.17790675815396184
( u | f ) = 0.03870194567158568
( v | f ) = 0.0025613309521571575
( w | f ) = 0.01680139110818686
( x | f ) = 7.049534730707773e-05
( y | f ) = 0.008482940125951688
( z | f ) = 0.00011749224551179622
( a | g ) = 0.1077837279218339
( b | g ) = 0.016934423149192034
( c | g ) = 0.01063979706877114
( d | g ) = 0.008478955279969936
( e | g ) = 0.11304490792934987
( f | g ) = 0.016934423149192034
( g | g ) = 0.020128711010898158
( h | g ) = 0.16307309282224727
( i | g ) = 0.06973412251033446
( j | g ) = 0.0011508831266441187
( k | g ) = 0.0006341600901916572
( l | g ) = 0.04530721533258174
( m | g ) = 0.013176437429537767
( n | g ) = 0.024732243517474634
( o | g ) = 0.09200018789928598
( p | g ) = 0.008760804208944007
( q | g ) = 0.001197857948139797
( r | g ) = 0.06367437053739196
( s | g ) = 0.05831924088688463
( t | g ) = 0.08833615182262307
( u | g ) = 0.028913002630590004
( v | g ) = 0.003828447951897783
( w | g ) = 0.02200770387072529
( x | g ) = 2.3487410747839157e-05
( y | g ) = 0.00584836527621195
( z | g ) = 7.046223224351747e-05
( a | h ) = 0.20085093665948378
( b | h ) = 0.004443430800446703
( c | h ) = 0.0026660584802680213
( d | h ) = 0.0019425263853280275
( e | h ) = 0.4209934410242698
( f | h ) = 0.00288626390046715
( g | h ) = 0.0012032653318023814
( h | h ) = 0.00796671752363276
( i | h ) = 0.1595152334963902
( j | h ) = 0.00030671469242021484
( k | h ) = 0.00025952781666325873
( l | h ) = 0.003248029947937147
( m | h ) = 0.004820925806502351
( n | h ) = 0.002776161190367586
( o | h ) = 0.07807068593988392
( p | h ) = 0.0021155449297702
( q | h ) = 0.00029098573383456284
( r | h ) = 0.014022366579108797
( s | h ) = 0.009225034210484925
( t | h ) = 0.048500243798858075
( u | h ) = 0.014132469289208362
( v | h ) = 0.0005269201126193435
( w | h ) = 0.006614027085266684
( x | h ) = 7.864479292826022e-06
( y | h ) = 0.007494848766063199
( z | h ) = 7.864479292826022e-06
( a | i ) = 0.017616854187117722
( b | i ) = 0.009068942082609681
( c | i ) = 0.04448387827531526
( d | i ) = 0.03607188703465982
( e | i ) = 0.030665257116967454
( f | i ) = 0.0210299781016386
( g | i ) = 0.03459185985048705
( h | i ) = 0.0036472098467114702
( i | i ) = 0.0010949180699237333
( j | i ) = 0.00035490447783734805
( k | i ) = 0.013342898134863702
( l | i ) = 0.058468624933927356
( m | i ) = 0.04468020841199124
( n | i ) = 0.3014498225477611
( o | i ) = 0.032628558483727255
( p | i ) = 0.018085026051498906
( q | i ) = 0.00065695084195424
( r | i ) = 0.038805406629917695
( s | i ) = 0.1343426716000906
( t | i ) = 0.12281960280903119
( u | i ) = 0.0007928717058068414
( v | i ) = 0.020743034055727555
( w | i ) = 0.0039643585290342065
( x | i ) = 0.0020916710715094765
( y | i ) = 6.796043192630068e-05
( z | i ) = 0.0035263913010647133
( a | j ) = 0.1568421052631579
( b | j ) = 0.0003508771929824561
( c | j ) = 0.0003508771929824561
( d | j ) = 0.0003508771929824561
( e | j ) = 0.17017543859649123
( f | j ) = 0.0003508771929824561
( g | j ) = 0.0003508771929824561
( h | j ) = 0.0003508771929824561
( i | j ) = 0.01368421052631579
( j | j ) = 0.0003508771929824561
( k | j ) = 0.0003508771929824561
( l | j ) = 0.0003508771929824561
( m | j ) = 0.0003508771929824561
( n | j ) = 0.0003508771929824561
( o | j ) = 0.22982456140350876
( p | j ) = 0.0003508771929824561
( q | j ) = 0.0003508771929824561
( r | j ) = 0.002456140350877193
( s | j ) = 0.0003508771929824561
( t | j ) = 0.0010526315789473684
( u | j ) = 0.1912280701754386
( v | j ) = 0.0003508771929824561
( w | j ) = 0.0003508771929824561
( x | j ) = 0.0003508771929824561
( y | j ) = 0.0003508771929824561
( z | j ) = 0.0003508771929824561
( a | k ) = 0.04982817869415808
( b | k ) = 0.018900343642611683
( c | k ) = 0.007761583125962792
( d | k ) = 0.006458111150610262
( e | k ) = 0.3330370897025714
( f | k ) = 0.013449460836592013
( g | k ) = 0.004088162104514753
( h | k ) = 0.019611328356440336
( i | k ) = 0.14652209977485484
( j | k ) = 0.0008887308922858159
( k | k ) = 0.001718213058419244
( l | k ) = 0.028735632183908046
( m | k ) = 0.00882806019670577
( n | k ) = 0.07376466405972272
( o | k ) = 0.03359402772840384
( p | k ) = 0.005510131532172059
( q | k ) = 0.0008887308922858159
( r | k ) = 0.0049176442706481815
( s | k ) = 0.09663467235454437
( t | k ) = 0.04757672710036734
( u | k ) = 0.008709562744400995
( v | k ) = 0.0013627207015049177
( w | k ) = 0.025536200971679107
( x | k ) = 5.9248726152387724e-05
( y | k ) = 0.023047754473278826
( z | k ) = 5.9248726152387724e-05
( a | l ) = 0.09851176742039686
( b | l ) = 0.01011767420396862
( c | l ) = 0.007787263497923396
( d | l ) = 0.060509921550530685
( e | l ) = 0.19841947392708814
( f | l ) = 0.020916012921089064
( g | l ) = 0.0033802491924319333
( h | l ) = 0.009471619750807568
( i | l ) = 0.11632441162898016
( j | l ) = 0.0004960775265343793
( k | l ) = 0.006264420858329488
( l | l ) = 0.1422358098754038
( m | l ) = 0.01540147669589294
( n | l ) = 0.004718504845408399
( o | l ) = 0.09179741578218735
( p | l ) = 0.0070489155514536226
( q | l ) = 0.0003345639132441163
( r | l ) = 0.005110752191970466
( s | l ) = 0.03300646054453161
( t | l ) = 0.035913705583756346
( u | l ) = 0.018770189201661285
( v | l ) = 0.005872173511767421
( w | l ) = 0.010856022150438394
( x | l ) = 1.1536686663590216e-05
( y | l ) = 0.08912090447623443
( z | l ) = 0.00010383017997231196
( a | m ) = 0.19398436186312426
( b | m ) = 0.027976290566672272
( c | m ) = 0.0037203632083403397
( d | m ) = 0.0029216411636119053
( e | m ) = 0.2469102068269716
( f | m ) = 0.007756011434336641
( g | m ) = 0.0017866151000504457
( h | m ) = 0.011875735665041198
( i | m ) = 0.08367664368589205
( j | m ) = 0.0005254750294266016
( k | m ) = 0.000315285017655961
( l | m ) = 0.0046872372624852865
( m | m ) = 0.0280183285690264
( n | m ) = 0.008176391457877921
( o | m ) = 0.1347107785438036
( p | m ) = 0.04891121573902808
( q | m ) = 0.0006095510341348579
( r | m ) = 0.005485959307213721
( s | m ) = 0.03785522111989238
( t | m ) = 0.04374054144947032
( u | m ) = 0.037981335126954764
( v | m ) = 0.0004834370270724735
( w | m ) = 0.019064234067597108
( x | m ) = 2.1019001177064065e-05
( y | m ) = 0.035122750966874054
( z | m ) = 2.1019001177064065e-05
( a | n ) = 0.05756073301585388
( b | n ) = 0.011717101693893544
( c | n ) = 0.042852191211043465
( d | n ) = 0.17123545723069503
( e | n ) = 0.08664627162577612
( f | n ) = 0.0115814696485623
( g | n ) = 0.15449243474591598
( h | n ) = 0.019930375550063294
( i | n ) = 0.04689101211646272
( j | n ) = 0.0013337151124238954
( k | n ) = 0.010586834649466513
( l | n ) = 0.016012116462716258
( m | n ) = 0.00819066851528121
( n | n ) = 0.01189794442100187
( o | n ) = 0.08079902344927362
( p | n ) = 0.006563083971306287
( q | n ) = 0.0017556814756766533
( r | n ) = 0.004603954427632769
( s | n ) = 0.05673187051660739
( t | n ) = 0.14982066429561758
( u | n ) = 0.007813912833805534
( v | n ) = 0.005568448972210501
( w | n ) = 0.01626831032611972
( x | n ) = 0.0004897823859183796
( y | n ) = 0.013600880101271928
( z | n ) = 0.0001582373862197842
( a | o ) = 0.028104799006806798
( b | o ) = 0.016988455556031224
( c | o ) = 0.015375943604891761
( d | o ) = 0.025493385846996876
( e | o ) = 0.007770024401729526
( f | o ) = 0.10873039656377984
( g | o ) = 0.0073561939009946205
( h | o ) = 0.012336429927080212
( i | o ) = 0.017002725573297944
( j | o ) = 0.0009346861309702185
( k | o ) = 0.014105912068153603
( l | o ) = 0.03802246100717782
( m | o ) = 0.06504987371034719
( n | o ) = 0.135615109094282
( o | o ) = 0.04363057779299913
( p | o ) = 0.018115786920102173
( q | o ) = 0.0007206358719694051
( r | o ) = 0.11597956533527405
( s | o ) = 0.04273156670519571
( t | o ) = 0.0692309887694964
( u | o ) = 0.12287198367510024
( v | o ) = 0.01586112419196027
( w | o ) = 0.06443626296787819
( x | o ) = 0.0006350157683690797
( y | o ) = 0.007798564436262968
( z | o ) = 0.00046377556116842904
( a | p ) = 0.1213756852992709
( b | p ) = 0.005341095348442887
( c | p ) = 0.003193353303566382
( d | p ) = 0.0029107556660826314
( e | p ) = 0.19858135985983158
( f | p ) = 0.004775900073475386
( g | p ) = 0.0012716893686768778
( h | p ) = 0.02540552760978918
( i | p ) = 0.07926863731419205
( j | p ) = 0.0007064940937093766
( k | p ) = 0.0011586503136833777
( l | p ) = 0.07350364550952354
( m | p ) = 0.006188888260894139
( n | p ) = 0.001384728423670378
( o | p ) = 0.14935285141016222
( p | p ) = 0.04727858475103148
( q | p ) = 0.00042389645622562596
( r | p ) = 0.1014242920929181
( s | p ) = 0.03817894082405471
( t | p ) = 0.07084722771717629
( u | p ) = 0.0347877691742497
( v | p ) = 0.00019781834623862544
( w | p ) = 0.009636579438195897
( x | p ) = 2.8259763748375065e-05
( y | p ) = 0.004380263380998135
( z | p ) = 2.8259763748375065e-05
( a | q ) = 0.0007903055848261328
( b | q ) = 0.00026343519494204424
( c | q ) = 0.00026343519494204424
( d | q ) = 0.00026343519494204424
( e | q ) = 0.00026343519494204424
( f | q ) = 0.00026343519494204424
( g | q ) = 0.00026343519494204424
( h | q ) = 0.00026343519494204424
( i | q ) = 0.00026343519494204424
( j | q ) = 0.00026343519494204424
( k | q ) = 0.00026343519494204424
( l | q ) = 0.00026343519494204424
( m | q ) = 0.00026343519494204424
( n | q ) = 0.00026343519494204424
( o | q ) = 0.00026343519494204424
( p | q ) = 0.00026343519494204424
( q | q ) = 0.00026343519494204424
( r | q ) = 0.00026343519494204424
( s | q ) = 0.00026343519494204424
( t | q ) = 0.00026343519494204424
( u | q ) = 0.821654373024236
( v | q ) = 0.00026343519494204424
( w | q ) = 0.00026343519494204424
( x | q ) = 0.00026343519494204424
( y | q ) = 0.00026343519494204424
( z | q ) = 0.00026343519494204424
( a | r ) = 0.09126796296646913
( b | r ) = 0.018772364958252078
( c | r ) = 0.020211295605581537
( d | r ) = 0.04052672435011455
( e | r ) = 0.2289509059583089
( f | r ) = 0.01102864607986065
( g | r ) = 0.010763579907984171
( h | r ) = 0.016121703239487285
( i | r ) = 0.09549008841850162
( j | r ) = 0.001031864740519151
( k | r ) = 0.013187042050854839
( l | r ) = 0.017181967926993204
( m | r ) = 0.02933714523732889
( n | r ) = 0.02706514947838764
( o | r ) = 0.10561940284378135
( p | r ) = 0.018469432190393244
( q | r ) = 0.0011265312304750365
( r | r ) = 0.019453963685934453
( s | r ) = 0.06885093814491547
( t | r ) = 0.08221784652668648
( u | r ) = 0.018715565064278548
( v | r ) = 0.007904651911316432
( w | r ) = 0.016311036219399055
( x | r ) = 4.7333244977942706e-05
( y | r ) = 0.034089403033114335
( z | r ) = 0.00010413313895147396
( a | s ) = 0.09238150983503027
( b | s ) = 0.022019069330416967
( c | s ) = 0.028365243911831303
( d | s ) = 0.009311316831225644
( e | s ) = 0.1118667303337903
( f | s ) = 0.017813958503411838
( g | s ) = 0.0064771029404969115
( h | s ) = 0.07727083686326458
( i | s ) = 0.07520678979066867
( j | s ) = 0.001717472004436161
( k | s ) = 0.008756796722170022
( l | s ) = 0.0213413225304601
( m | s ) = 0.021418339212273377
( n | s ) = 0.01601176814898107
( o | s ) = 0.09563161380755071
( p | s ) = 0.03874709262026155
( q | s ) = 0.002872722231635372
( r | s ) = 0.006631136304123473
( s | s ) = 0.06691979482755965
( t | s ) = 0.19421296652855008
( u | s ) = 0.03460359513870705
( v | s ) = 0.0031345789498005267
( w | s ) = 0.035435375302290475
( x | s ) = 3.850834090664038e-05
( y | s ) = 0.006738959658662066
( z | s ) = 6.931501363195269e-05
( a | t ) = 0.06775493208188438
( b | t ) = 0.012036192984233094
( c | t ) = 0.011901144535602147
( d | t ) = 0.0063866662165051715
( e | t ) = 0.0856826136376425
( f | t ) = 0.009177667488211395
( g | t ) = 0.0034268543840102637
( h | t ) = 0.3725705346793162
( i | t ) = 0.08202505148722104
( j | t ) = 0.0007033773366195123
( k | t ) = 0.0011647928694419123
( l | t ) = 0.02094939059387555
( m | t ) = 0.009920433955681601
( n | t ) = 0.006938114048414869
( o | t ) = 0.10352026289431333
( p | t ) = 0.005891488571525034
( q | t ) = 0.0005908369627603903
( r | t ) = 0.027465478240318714
( s | t ) = 0.045348143646533196
( t | t ) = 0.05663594314460313
( u | t ) = 0.023785408015125426
( v | t ) = 0.001547430140562927
( w | t ) = 0.02713911115612726
( x | t ) = 5.627018692956098e-06
( y | t ) = 0.013668028405190363
( z | t ) = 0.00010691335516616586
( a | u ) = 0.022611031386834457
( b | u ) = 0.02956544136586084
( c | u ) = 0.05524892372226515
( d | u ) = 0.023052581226772638
( e | u ) = 0.04667549766346543
( f | u ) = 0.006604849689075321
( g | u ) = 0.05061265040291423
( h | u ) = 0.002594105309636825
( i | u ) = 0.02117599440703536
( j | u ) = 0.00012878536998197005
( k | u ) = 0.0031092467895647053
( l | u ) = 0.09568752989660374
( m | u ) = 0.034164918865216914
( n | u ) = 0.12129742061301836
( o | u ) = 0.012050631048312912
( p | u ) = 0.057971814401883946
( q | u ) = 0.0002391728299665158
( r | u ) = 0.11908967141332745
( s | u ) = 0.12070868749310078
( t | u ) = 0.15643742870809876
( u | u ) = 0.0004231519299407587
( v | u ) = 0.0011222725098428818
( w | u ) = 0.005500975089229864
( x | u ) = 0.00038635610994591015
( y | u ) = 0.0009014975898737903
( z | u ) = 0.0006807226699046988
( a | v ) = 0.08383333333333333
( b | v ) = 5.555555555555556e-05
( c | v ) = 5.555555555555556e-05
( d | v ) = 5.555555555555556e-05
( e | v ) = 0.6452777777777777
( f | v ) = 5.555555555555556e-05
( g | v ) = 5.555555555555556e-05
( h | v ) = 0.0002777777777777778
( i | v ) = 0.16627777777777777
( j | v ) = 5.555555555555556e-05
( k | v ) = 0.00016666666666666666
( l | v ) = 0.00016666666666666666
( m | v ) = 5.555555555555556e-05
( n | v ) = 0.0006111111111111111
( o | v ) = 0.05772222222222222
( p | v ) = 5.555555555555556e-05
( q | v ) = 5.555555555555556e-05
( r | v ) = 0.0005
( s | v ) = 0.00016666666666666666
( t | v ) = 0.0007222222222222222
( u | v ) = 0.0020555555555555557
( v | v ) = 5.555555555555556e-05
( w | v ) = 5.555555555555556e-05
( x | v ) = 5.555555555555556e-05
( y | v ) = 0.005388888888888889
( z | v ) = 5.555555555555556e-05
( a | w ) = 0.18672975352112675
( b | w ) = 0.007108274647887324
( c | w ) = 0.005831866197183099
( d | w ) = 0.005523767605633802
( e | w ) = 0.1216769366197183
( f | w ) = 0.006227992957746479
( g | w ) = 0.0016945422535211267
( h | w ) = 0.2633582746478873
( i | w ) = 0.1659551056338028
( j | w ) = 0.00037411971830985914
( k | w ) = 0.001738556338028169
( l | w ) = 0.011773767605633803
( m | w ) = 0.004819542253521126
( n | w ) = 0.048305457746478875
( o | w ) = 0.08237235915492958
( p | w ) = 0.0023107394366197183
( q | w ) = 0.0005501760563380282
( r | w ) = 0.010321302816901409
( s | w ) = 0.025902288732394366
( t | w ) = 0.019784330985915494
( u | w ) = 0.0021346830985915495
( v | w ) = 0.0006822183098591549
( w | w ) = 0.007372359154929577
( x | w ) = 2.2007042253521128e-05
( y | w ) = 0.0027948943661971833
( z | w ) = 0.0003301056338028169
( a | x ) = 0.07695086705202313
( b | x ) = 0.0025289017341040463
( c | x ) = 0.1217485549132948
( d | x ) = 0.0018063583815028901
( e | x ) = 0.085621387283237
( f | x ) = 0.006141618497109827
( g | x ) = 0.001083815028901734
( h | x ) = 0.032153179190751446
( i | x ) = 0.07261560693641618
( j | x ) = 0.000361271676300578
( k | x ) = 0.000361271676300578
( l | x ) = 0.0032514450867052024
( m | x ) = 0.015534682080924855
( n | x ) = 0.001083815028901734
( o | x ) = 0.011921965317919074
( p | x ) = 0.13547687861271676
( q | x ) = 0.001083815028901734
( r | x ) = 0.000361271676300578
( s | x ) = 0.00541907514450867
( t | x ) = 0.16365606936416185
( u | x ) = 0.006864161849710983
( v | x ) = 0.0018063583815028901
( w | x ) = 0.006864161849710983
( x | x ) = 0.0018063583815028901
( y | x ) = 0.008309248554913294
( z | x ) = 0.000361271676300578
( a | y ) = 0.08950190245589762
( b | y ) = 0.03888504554364119
( c | y ) = 0.03479188285483685
( d | y ) = 0.03219762481263692
( e | y ) = 0.1121007725123948
( f | y ) = 0.032370575348783584
( g | y ) = 0.013461316730081864
( h | y ) = 0.04101810215611668
( i | y ) = 0.05635304969445405
( j | y ) = 0.004410238671739883
( k | y ) = 0.004006687420731004
( l | y ) = 0.025106652830623775
( m | y ) = 0.03150582266805027
( n | y ) = 0.014671970483108497
( o | y ) = 0.12881932433990545
( p | y ) = 0.029257465698143664
( q | y ) = 0.0022771820592643838
( r | y ) = 0.023088896575579384
( s | y ) = 0.10483684999423498
( t | y ) = 0.09809177908451516
( u | y ) = 0.00809985010953534
( v | y ) = 0.005159690995042085
( w | y ) = 0.04355471001960106
( x | y ) = 2.882508935777701e-05
( y | y ) = 0.007523348322379799
( z | y ) = 0.00014412544678888504
( a | z ) = 0.051954732510288065
( b | z ) = 0.006687242798353909
( c | z ) = 0.00051440329218107
( d | z ) = 0.00257201646090535
( e | z ) = 0.29475308641975306
( f | z ) = 0.0015432098765432098
( g | z ) = 0.00051440329218107
( h | z ) = 0.0015432098765432098
( i | z ) = 0.11779835390946503
( j | z ) = 0.00051440329218107
( k | z ) = 0.00051440329218107
( l | z ) = 0.02109053497942387
( m | z ) = 0.0015432098765432098
( n | z ) = 0.00051440329218107
( o | z ) = 0.0787037037037037
( p | z ) = 0.00051440329218107
( q | z ) = 0.00051440329218107
( r | z ) = 0.00051440329218107
( s | z ) = 0.00257201646090535
( t | z ) = 0.0015432098765432098
( u | z ) = 0.007716049382716049
( v | z ) = 0.00051440329218107
( w | z ) = 0.00051440329218107
( x | z ) = 0.00051440329218107
( y | z ) = 0.025205761316872428
( z | z ) = 0.044753086419753084
