( a | a ) = 0.005394820971867008
( x | c ) = 6.688068485821294e-05
( y | c ) = 6.688068485821294e-05
( z | c ) = 6.688068485821294e-05
( a | d ) = 0.125968449547279
( b | d ) = 0.012274806310090544
( c | d ) = 0.0021935965649211237
( d | d ) = 0.028796788948007093
( e | d ) = 0.42243069168300196
( f | d ) = 0.005647344347988425
( g | d ) = 0.011808083636703071
( h | d ) = 0.007514235041538318
( i | d ) = 0.15434518808923736
( j | d ) = 0.002380285634276113
( k | d ) = 0.004247176327826006
( l | d ) = 0.014141697003640437
( m | d ) = 0.00919443666573322
( n | d ) = 0.009847848408475683
( o | d ) = 0.01703537757864277
( p | d ) = 0.002100252030243629
( q | d ) = 0.00023336133669373658
( r | d ) = 0.02030243629235508
( s | d ) = 0.029263511621394567
( t | d ) = 0.01078129375525063
( u | d ) = 0.040651544852048915
( v | d ) = 0.009101092131055727
( w | d ) = 0.016848688509287783
( x | d ) = 4.6672267338747314e-05
( y | d ) = 4.6672267338747314e-05
( z | d ) = 0.012461495379445534
( a | e ) = 0.012666795590794817
( b | e ) = 0.02073376246650275
( c | e ) = 0.007334862005138548
( d | e ) = 0.035292980081222204
( e | e ) = 0.019877337900931016
( f | e ) = 0.014048125535265353
( g | e ) = 0.027087880211067214
( h | e ) = 0.029684780506671823
( i | e ) = 0.1257148382462635
( j | e ) = 0.0016990358316987596
( k | e ) = 0.007003342818465618
( l | e ) = 0.039740862502417325
( m | e ) = 0.03830427936016797
( n | e ) = 0.23475702406276763
( o | e ) = 0.0021134348150399205
( p | e ) = 0.003771030748404564
( q | e ) = 0.0005663452772329199
( r | e ) = 0.20566621543221814
( s | e ) = 0.08543525706550266
( t | e ) = 0.022391358399867393
( u | e ) = 0.02233610520208857
( v | e ) = 0.0075558747962538335
( w | e ) = 0.018053982374229907
( x | e ) = 0.0009254910627952593
( y | e ) = 1.3813299444705363e-05
( z | e ) = 0.00821891316959969
( a | f ) = 0.11376518218623481
( b | f ) = 0.00796221322537112
( c | f ) = 0.0001349527665317139
( d | f ) = 0.04412955465587044
( e | f ) = 0.15937921727395413
( f | f ) = 0.04979757085020243
( g | f ) = 0.01659919028340081
( h | f ) = 0.0055330634278002696
( i | f ) = 0.06356275303643724
( j | f ) = 0.0001349527665317139
( k | f ) = 0.002834008097165992
( l | f ) = 0.04331983805668016
( m | f ) = 0.008232118758434548
( n | f ) = 0.011201079622132253
( o | f ) = 0.03684210526315789
( p | f ) = 0.0009446693657219973
( q | f ) = 0.0001349527665317139
( r | f ) = 0.10404858299595142
( s | f ) = 0.024696356275303644
( t | f ) = 0.10431848852901485
( u | f ) = 0.09271255060728745
( v | f ) = 0.0017543859649122807
( w | f ) = 0.007152496626180837
( x | f ) = 0.0001349527665317139
( y | f ) = 0.0001349527665317139
( z | f ) = 0.01282051282051282
( a | g ) = 0.04948878159613746
( b | g ) = 0.006745242828741835
( c | g ) = 7.100255609201931e-05
( d | g ) = 0.023785856290826468
( e | g ) = 0.525773927861403
( f | g ) = 0.0044731610337972166
( g | g ) = 0.011289406418631071
( h | g ) = 0.00518318659471741
( i | g ) = 0.032590173246236864
( j | g ) = 0.0019170690144845214
( k | g ) = 0.011573416642999148
( l | g ) = 0.0540329451860267
( m | g ) = 0.004615166145981255
( n | g ) = 0.01853166714001704
( o | g ) = 0.013277477989207611
( p | g ) = 0.0004970178926441351
( q | g ) = 7.100255609201931e-05
( r | g ) = 0.047642715137744956
( s | g ) = 0.032874183470604945
( t | g ) = 0.04451860266969611
( u | g ) = 0.0415364953138313
( v | g ) = 0.005609201931269525
( w | g ) = 0.008591309287134337
( x | g ) = 7.100255609201931e-05
( y | g ) = 0.00021300766827605795
( z | g ) = 0.008875319511502415
( a | h ) = 0.11678223470552093
( b | h ) = 0.009874484332484858
( c | h ) = 0.001097164925831651
( d | h ) = 0.029096813833055384
( e | h ) = 0.21482489247783726
( f | h ) = 0.005310278241025191
( g | h ) = 0.011717721407882032
( h | h ) = 0.010050030720617923
( i | h ) = 0.057623101904678314
( j | h ) = 0.0016238040902308436
( k | h ) = 0.007329061704555429
( l | h ) = 0.04893355569209164
( m | h ) = 0.04050732906170455
( n | h ) = 0.056833143158079524
( o | h ) = 0.04322829807776705
( p | h ) = 0.0009216185376985869
( q | h ) = 0.00013165979109979812
( r | h ) = 0.07956640042131133
( s | h ) = 0.03216887562538401
( t | h ) = 0.12731501799350478
( u | h ) = 0.02549811287632757
( v | h ) = 0.007943474063021153
( w | h ) = 0.033397700342315456
( x | h ) = 4.388659703326604e-05
( y | h ) = 0.0015360308961643115
( z | h ) = 0.008119020451154218
( a | i ) = 0.0025315683523455135
( b | i ) = 0.0064356737631916065
( c | i ) = 0.1634539132556579
( d | i ) = 0.014609894467150613
( e | i ) = 0.1974318306594278
( f | i ) = 0.008204721527481243
( g | i ) = 0.0689013603367291
( h | i ) = 0.04071859940218386
( i | i ) = 0.0008235222351003478
( j | i ) = 0.0002135057646556457
( k | i ) = 0.005276642469346672
( l | i ) = 0.02577319587628866
( m | i ) = 0.024492161288354786
( n | i ) = 0.22878667724028548
( o | i ) = 0.006557677057280546
( p | i ) = 0.0016165436466784604
( q | i ) = 3.05008235222351e-05
( r | i ) = 0.025346184346977368
( s | i ) = 0.07445251021777588
( t | i ) = 0.07774659915817728
( u | i ) = 0.00155554199963399
( v | i ) = 0.0009455255291892881
( w | i ) = 0.0007625205880558775
( x | i ) = 0.0002135057646556457
( y | i ) = 3.05008235222351e-05
( z | i ) = 0.0032635881168791557
( a | j ) = 0.18829337094499296
( b | j ) = 0.0007052186177715092
( c | j ) = 0.0007052186177715092
( d | j ) = 0.0007052186177715092
( e | j ) = 0.23201692524682652
( f | j ) = 0.0007052186177715092
( g | j ) = 0.0007052186177715092
( h | j ) = 0.0007052186177715092
( i | j ) = 0.0007052186177715092
( j | j ) = 0.0007052186177715092
( k | j ) = 0.0007052186177715092
( l | j ) = 0.0007052186177715092
( m | j ) = 0.0007052186177715092
( n | j ) = 0.0007052186177715092
( o | j ) = 0.011988716502115656
( p | j ) = 0.0007052186177715092
( q | j ) = 0.0007052186177715092
( r | j ) = 0.0007052186177715092
( s | j ) = 0.0007052186177715092
( t | j ) = 0.0007052186177715092
( u | j ) = 0.09379407616361073
( v | j ) = 0.0007052186177715092
( w | j ) = 0.0007052186177715092
( x | j ) = 0.0007052186177715092
( y | j ) = 0.0007052186177715092
( z | j ) = 0.0007052186177715092
( a | k ) = 0.1088091922005571
( b | k ) = 0.007834261838440111
( c | k ) = 0.0012186629526462396
( d | k ) = 0.014798050139275766
( e | k ) = 0.2553969359331476
( f | k ) = 0.002959610027855153
( g | k ) = 0.012012534818941505
( h | k ) = 0.006093314763231198
( i | k ) = 0.03603760445682451
( j | k ) = 0.0012186629526462396
( k | k ) = 0.004004178272980502
( l | k ) = 0.06598189415041783
( m | k ) = 0.002959610027855153
( n | k ) = 0.01897632311977716
( o | k ) = 0.10846100278551532
( p | k ) = 0.0005222841225626741
( q | k ) = 0.00017409470752089137
( r | k ) = 0.04021587743732591
( s | k ) = 0.024895543175487464
( t | k ) = 0.08025766016713091
( u | k ) = 0.07433844011142061
( v | k ) = 0.0026114206128133705
( w | k ) = 0.008878830083565459
( x | k ) = 0.00017409470752089137
( y | k ) = 0.00017409470752089137
( z | k ) = 0.007834261838440111
( a | l ) = 0.10639505549949546
( b | l ) = 0.025163975782038345
( c | l ) = 0.01217204843592331
( d | l ) = 0.03651614530776993
( e | l ) = 0.19014883955600403
( f | l ) = 0.00498234106962664
( g | l ) = 0.013181130171543895
( h | l ) = 0.0033425832492431887
( i | l ) = 0.18358980827447025
( j | l ) = 0.00044147325933400604
( k | l ) = 0.006748234106962664
( l | l ) = 0.11207114026236126
( m | l ) = 0.006243693239152371
( n | l ) = 0.01898335015136226
( o | l ) = 0.03020938446014127
( p | l ) = 0.001198284561049445
( q | l ) = 6.306760847628658e-05
( r | l ) = 0.0017028254288597377
( s | l ) = 0.05467961654894046
( t | l ) = 0.08520433905146317
( u | l ) = 0.04496720484359233
( v | l ) = 0.00498234106962664
( w | l ) = 0.003720988900100908
( x | l ) = 6.306760847628658e-05
( y | l ) = 0.00044147325933400604
( z | l ) = 0.01179364278506559
( a | m ) = 0.1577841291190316
( b | m ) = 0.012861466039004708
( c | m ) = 0.0012609280430396772
( d | m ) = 0.026479488903833222
( e | m ) = 0.22015803631472763
( f | m ) = 0.010675857431069267
( g | m ) = 0.025806993947545393
( h | m ) = 0.012020847343644923
( i | m ) = 0.12550437121721586
( j | m ) = 0.003110289172831204
( k | m ) = 0.015047074646940148
( l | m ) = 0.016223940820443847
( m | m ) = 0.07405850706119704
( n | m ) = 0.009667114996637525
( o | m ) = 0.02933759246805649
( p | m ) = 0.02765635507733692
( q | m ) = 0.0004203093476798924
( r | m ) = 0.009498991257565568
( s | m ) = 0.041778749159381304
( t | m ) = 0.034045057162071284
( u | m ) = 0.05707800941492939
( v | m ) = 0.011684599865501008
( w | m ) = 0.012861466039004708
( x | m ) = 8.406186953597848e-05
( y | m ) = 0.0007565568258238063
( z | m ) = 0.009498991257565568
( a | n ) = 0.055251540513197826
( b | n ) = 0.028074128575370182
( c | n ) = 0.001310585854869861
( d | n ) = 0.2166605352708544
( e | n ) = 0.13342683711947026
( f | n ) = 0.014876299089487722
( g | n ) = 0.07668076887703486
( h | n ) = 0.02108433734939759
( i | n ) = 0.055849351604892856
( j | n ) = 0.003471902878690334
( k | n ) = 0.025315000459854686
( l | n ) = 0.014278487997792697
( m | n ) = 0.023337625310401913
( n | n ) = 0.05046905177963763
( o | n ) = 0.013450749563138048
( p | n ) = 0.004575554124896533
( q | n ) = 0.0005748183573990619
( r | n ) = 0.00678285661730893
( s | n ) = 0.07930194058677457
( t | n ) = 0.04370918789662467
( u | n ) = 0.04605444679481284
( v | n ) = 0.015658052055550445
( w | n ) = 0.029959532787639107
( x | n ) = 2.2992734295962477e-05
( y | n ) = 6.897820288788743e-05
( z | n ) = 0.02480916030534351
( a | o ) = 0.004520100019234468
( b | o ) = 0.02894787459126755
( c | o ) = 0.07164839392190805
( d | o ) = 0.02990959799961531
( e | o ) = 0.006635891517599538
( f | o ) = 0.035295249086362765
( g | o ) = 0.02856318522792845
( h | o ) = 0.06126178111175226
( i | o ) = 0.005674168109251779
( j | o ) = 0.0010578957491825351
( k | o ) = 0.009136372379303712
( l | o ) = 0.10973264089247932
( m | o ) = 0.04625889594152722
( n | o ) = 0.16743604539334486
( o | o ) = 0.004520100019234468
( p | o ) = 0.01413733410271206
( q | o ) = 0.00028851702250432774
( r | o ) = 0.16570494325831892
( s | o ) = 0.08261204077707252
( t | o ) = 0.037603385266397386
( u | o ) = 0.006058857472590883
( v | o ) = 0.006635891517599538
( w | o ) = 0.008559338334295057
( x | o ) = 9.617234083477592e-05
( y | o ) = 0.0006732063858434314
( z | o ) = 0.004520100019234468
( a | p ) = 0.10806345009914078
( b | p ) = 0.0009914077990746861
( c | p ) = 0.0009914077990746861
( d | p ) = 0.0009914077990746861
( e | p ) = 0.12458691341705222
( f | p ) = 0.13053536021150033
( g | p ) = 0.0009914077990746861
( h | p ) = 0.02742894910773298
( i | p ) = 0.06245869134170522
( j | p ) = 0.00033046926635822867
( k | p ) = 0.00033046926635822867
( l | p ) = 0.04593522802379379
( m | p ) = 0.00033046926635822867
( n | p ) = 0.00033046926635822867
( o | p ) = 0.06444150693985459
( p | p ) = 0.04593522802379379
( q | p ) = 0.00033046926635822867
( r | p ) = 0.10409781890284203
( s | p ) = 0.0036351619299405157
( t | p ) = 0.03139458030403172
( u | p ) = 0.029411764705882353
( v | p ) = 0.00033046926635822867
( w | p ) = 0.00033046926635822867
( x | p ) = 0.00033046926635822867
( y | p ) = 0.00033046926635822867
( z | p ) = 0.00033046926635822867
( a | q ) = 0.0012987012987012987
( b | q ) = 0.0012987012987012987
( c | q ) = 0.0012987012987012987
( d | q ) = 0.0012987012987012987
( e | q ) = 0.0012987012987012987
( f | q ) = 0.0012987012987012987
( g | q ) = 0.0012987012987012987
( h | q ) = 0.0012987012987012987
( i | q ) = 0.0012987012987012987
( j | q ) = 0.0012987012987012987
( k | q ) = 0.0012987012987012987
( l | q ) = 0.0012987012987012987
( m | q ) = 0.0012987012987012987
( n | q ) = 0.0012987012987012987
( o | q ) = 0.0012987012987012987
( p | q ) = 0.0012987012987012987
( q | q ) = 0.0012987012987012987
( r | q ) = 0.0012987012987012987
( s | q ) = 0.0012987012987012987
( t | q ) = 0.0012987012987012987
( u | q ) = 0.12337662337662338
( v | q ) = 0.0012987012987012987
( w | q ) = 0.0012987012987012987
( x | q ) = 0.0012987012987012987
( y | q ) = 0.0012987012987012987
( z | q ) = 0.0012987012987012987
( a | r ) = 0.09171340811965811
( b | r ) = 0.0320846688034188
( c | r ) = 0.013254540598290598
( d | r ) = 0.06934428418803419
( e | r ) = 0.15508146367521367
( f | r ) = 0.02200186965811966
( g | r ) = 0.03789396367521367
( h | r ) = 0.02734375
( i | r ) = 0.0647369123931624
( j | r ) = 0.003973023504273504
( k | r ) = 0.024005074786324788
( l | r ) = 0.023337339743589744
( m | r ) = 0.029680822649572648
( n | r ) = 0.0414329594017094
( o | r ) = 0.03295272435897436
( p | r ) = 0.006643963675213675
( q | r ) = 0.000500801282051282
( r | r ) = 0.022469284188034188
( s | r ) = 0.08463541666666667
( t | r ) = 0.0648036858974359
( u | r ) = 0.059528579059829057
( v | r ) = 0.015257745726495726
( w | r ) = 0.030215010683760684
( x | r ) = 3.338675213675214e-05
( y | r ) = 0.00010016025641025641
( z | r ) = 0.025273771367521368
( a | s ) = 0.04839960518894529
( b | s ) = 0.011668076706147772
( c | s ) = 0.13850112803158487
( d | s ) = 0.030985617597292726
( e | s ) = 0.18601945854483926
( f | s ) = 0.006450930626057529
( g | s ) = 0.023864918217710095
( h | s ) = 0.011668076706147772
( i | s ) = 0.11163987591652566
( j | s ) = 0.002361816130851664
( k | s ) = 0.008001974055273548
( l | s ) = 0.008213479977439368
( m | s ) = 0.014840665538635082
( n | s ) = 0.008001974055273548
( o | s ) = 0.04579103214890017
( p | s ) = 0.02174985899605189
( q | s ) = 0.00010575296108291032
( r | s ) = 0.004053863508178229
( s | s ) = 0.07427382966723069
( t | s ) = 0.15598561759729274
( u | s ) = 0.021256345177664976
( v | s ) = 0.010399041173152847
( w | s ) = 0.0225253807106599
( x | s ) = 3.525098702763678e-05
( y | s ) = 0.0007402707275803723
( z | s ) = 0.009553017484489565
( a | t ) = 0.07252252252252252
( b | t ) = 0.015274365274365275
( c | t ) = 0.0006961506961506961
( d | t ) = 0.05221130221130221
( e | t ) = 0.3378787878787879
( f | t ) = 0.008722358722358723
( g | t ) = 0.01814086814086814
( h | t ) = 0.019696969696969695
( i | t ) = 0.07301392301392301
( j | t ) = 0.003153153153153153
( k | t ) = 0.006265356265356265
( l | t ) = 0.02027027027027027
( m | t ) = 0.02108927108927109
( n | t ) = 0.013963963963963964
( o | t ) = 0.014537264537264538
( p | t ) = 0.002416052416052416
( q | t ) = 0.00012285012285012285
( r | t ) = 0.04565929565929566
( s | t ) = 0.05475020475020475
( t | t ) = 0.047051597051597054
( u | t ) = 0.05851760851760852
( v | t ) = 0.01552006552006552
( w | t ) = 0.03149058149058149
( x | t ) = 4.095004095004095e-05
( y | t ) = 0.00045045045045045046
( z | t ) = 0.03992628992628992
( a | u ) = 0.003300497613486341
( b | u ) = 0.0455468670661115
( c | u ) = 0.06474053011069361
( d | u ) = 0.011424799431298873
( e | u ) = 0.030110693612267696
( f | u ) = 0.07032598761043973
( g | u ) = 0.04422666802071697
( h | u ) = 0.03468061338478724
( i | u ) = 0.008885955113232457
( j | u ) = 0.0002538844318066416
( k | u ) = 0.003706712704376968
( l | u ) = 0.01995531634000203
( m | u ) = 0.053264953793033414
( n | u ) = 0.3130395044175891
( o | u ) = 0.0007616532954199249
( p | u ) = 0.007057987204224637
( q | u ) = 5.0776886361328324e-05
( r | u ) = 0.09408957042754139
( s | u ) = 0.09205849497308825
( t | u ) = 0.051132324565857624
( u | u ) = 0.0039098202498222805
( v | u ) = 0.004011374022544937
( w | u ) = 0.00756575606783792
( x | u ) = 5.0776886361328324e-05
( y | u ) = 5.0776886361328324e-05
( z | u ) = 0.0027927287498730577
( a | v ) = 0.03419870194707938
( b | v ) = 0.00024962556165751375
( c | v ) = 0.00024962556165751375
( d | v ) = 0.00024962556165751375
( e | v ) = 0.3617074388417374
( f | v ) = 0.00024962556165751375
( g | v ) = 0.00024962556165751375
( h | v ) = 0.00024962556165751375
( i | v ) = 0.06315526709935097
( j | v ) = 0.00024962556165751375
( k | v ) = 0.00024962556165751375
( l | v ) = 0.00024962556165751375
( m | v ) = 0.00024962556165751375
( n | v ) = 0.00024962556165751375
( o | v ) = 0.36969545681477783
( p | v ) = 0.00024962556165751375
( q | v ) = 0.00024962556165751375
( r | v ) = 0.00024962556165751375
( s | v ) = 0.00024962556165751375
( t | v ) = 0.0007488766849725411
( u | v ) = 0.001747378931602596
( v | v ) = 0.001747378931602596
( w | v ) = 0.00024962556165751375
( x | v ) = 0.00024962556165751375
( y | v ) = 0.00024962556165751375
( z | v ) = 0.00024962556165751375
( a | w ) = 0.2559065228556754
( b | w ) = 0.00012840267077555214
( c | w ) = 0.00012840267077555214
( d | w ) = 0.00012840267077555214
( e | w ) = 0.26926040061633283
( f | w ) = 0.00012840267077555214
( g | w ) = 0.0003852080123266564
( h | w ) = 0.00012840267077555214
( i | w ) = 0.22842835130970723
( j | w ) = 0.00012840267077555214
( k | w ) = 0.00012840267077555214
( l | w ) = 0.00012840267077555214
( m | w ) = 0.00012840267077555214
( n | w ) = 0.00012840267077555214
( o | w ) = 0.09874165382639959
( p | w ) = 0.00012840267077555214
( q | w ) = 0.00012840267077555214
( r | w ) = 0.00012840267077555214
( s | w ) = 0.00012840267077555214
( t | w ) = 0.00012840267077555214
( u | w ) = 0.061248073959938365
( v | w ) = 0.00012840267077555214
( w | w ) = 0.00012840267077555214
( x | w ) = 0.00012840267077555214
( y | w ) = 0.00012840267077555214
( z | w ) = 0.00012840267077555214
( a | x ) = 0.003989361702127659
( b | x ) = 0.0013297872340425532
( c | x ) = 0.014627659574468085
( d | x ) = 0.0013297872340425532
( e | x ) = 0.011968085106382979
( f | x ) = 0.0013297872340425532
( g | x ) = 0.003989361702127659
( h | x ) = 0.003989361702127659
( i | x ) = 0.017287234042553192
( j | x ) = 0.0013297872340425532
( k | x ) = 0.003989361702127659
( l | x ) = 0.0013297872340425532
( m | x ) = 0.0013297872340425532
( n | x ) = 0.0013297872340425532
( o | x ) = 0.003989361702127659
( p | x ) = 0.0013297872340425532
( q | x ) = 0.0013297872340425532
( r | x ) = 0.0013297872340425532
( s | x ) = 0.0013297872340425532
( t | x ) = 0.006648936170212766
( u | x ) = 0.006648936170212766
( v | x ) = 0.0013297872340425532
( w | x ) = 0.0013297872340425532
( x | x ) = 0.0013297872340425532
( y | x ) = 0.0013297872340425532
( z | x ) = 0.03856382978723404
( a | y ) = 0.006443298969072165
( b | y ) = 0.001288659793814433
( c | y ) = 0.006443298969072165
( d | y ) = 0.001288659793814433
( e | y ) = 0.001288659793814433
( f | y ) = 0.001288659793814433
( g | y ) = 0.003865979381443299
( h | y ) = 0.001288659793814433
( i | y ) = 0.001288659793814433
( j | y ) = 0.001288659793814433
( k | y ) = 0.001288659793814433
( l | y ) = 0.006443298969072165
( m | y ) = 0.024484536082474227
( n | y ) = 0.003865979381443299
( o | y ) = 0.001288659793814433
( p | y ) = 0.014175257731958763
( q | y ) = 0.001288659793814433
( r | y ) = 0.01675257731958763
( s | y ) = 0.045103092783505154
( t | y ) = 0.011597938144329897
( u | y ) = 0.001288659793814433
( v | y ) = 0.001288659793814433
( w | y ) = 0.001288659793814433
( x | y ) = 0.001288659793814433
( y | y ) = 0.001288659793814433
( z | y ) = 0.003865979381443299
( a | z ) = 0.033647140864714084
( b | z ) = 0.005404463040446304
( c | z ) = 0.0012203626220362621
( d | z ) = 0.008193863319386332
( e | z ) = 0.173465829846583
( f | z ) = 0.0019177126917712692
( g | z ) = 0.004358437935843794
( h | z ) = 0.0015690376569037657
( i | z ) = 0.07688284518828452
( j | z ) = 0.0008716875871687587
( k | z ) = 0.0015690376569037657
( l | z ) = 0.01202928870292887
( m | z ) = 0.002615062761506276
( n | z ) = 0.003312412831241283
( o | z ) = 0.023535564853556484
( p | z ) = 0.0005230125523012552
( q | z ) = 0.00017433751743375174
( r | z ) = 0.0005230125523012552
( s | z ) = 0.007496513249651325
( t | z ) = 0.045502092050209206
( u | z ) = 0.423465829846583
( v | z ) = 0.005055788005578801
( w | z ) = 0.04864016736401674
( x | z ) = 0.00017433751743375174
( y | z ) = 0.0005230125523012552
( z | z ) = 0.00400976290097629
